TODO: this must be completed and converted to sql insert commands

SCHOOL,CONC,NAME,LEVEL,CASTING,COMPONENTS,RITUAL,	RANGE,DURATION,MATERIALS,DESCR,HIGHERLEVELS
Conjuration,,Acid Splash,Cantrip,1 action,VS,,,,,,asdf
Abjuration,,Blade Ward,Cantrip,1 action,VS,,,,,,
Evocation,,Booming Blade,Cantrip,1 action,VM,,,,,,
Necromancy,,Chill Touch,Cantrip,1 action,VS,,,,,,
Transmutation,,Control Flames,Cantrip,1 action,S,,,,,,
Conjuration,Yes,Create Bonfire,Cantrip,1 action,VS,,,,,,
Evocation,Yes,Dancing Lights,Cantrip,1 action,VSM,,,,,,
Transmutation,,Druidcraft,Cantrip,1 action,VS,,,,,,
Evocation,,Eldritch Blast,Cantrip,1 action,VS,,,,,,
Enchantment,,Encode Thoughts,Cantrip,1 action,S,,,,,,
Evocation,,Fire Bolt,Cantrip,1 action,VS,,,,,,
Enchantment,Yes,Friends,Cantrip,1 action,SM,,,,,,
Evocation,,Frostbite,Cantrip,1 action,VS,,,,,,
Evocation,,Green-Flame Blade,Cantrip,1 action,VM,,,,,,
Divination,Yes,Guidance,Cantrip,1 action,VS,,,,,,
Transmutation,,Gust,Cantrip,1 action,VS,,,,,,
Conjuration,,Infestation,Cantrip,1 action,VSM,,,,,,
Evocation,,Light,Cantrip,1 action,VM,,,,,,
Evocation,,Lightning Lure,Cantrip,1 action,V,,,,,,
Conjuration,,Mage Hand,Cantrip,1 action,VS,,,,,,
Transmutation,,Magic Stone,Cantrip,1 bonus action,VS,,,,,,
Transmutation,,Mending,Cantrip,1 minute,VSM,,,,,,
Transmutation,,Message,Cantrip,1 action,VSM,,,,,,
Enchantment,,Mind Sliver,Cantrip,1 action,V,,,,,,
Illusion,,Minor Illusion,Cantrip,1 action,SM,,,,,,
Transmutation,,Mold Earth,Cantrip,1 action,S,,,,,,
Conjuration,,Poison Spray,Cantrip,1 action,VS,,,,,,
Transmutation,,Prestidigitation,Cantrip,1 action,VS,,,,,,
Transmutation,,Primal Savagery,Cantrip,1 action,S,,,,,,
Conjuration,,Produce Flame,Cantrip,1 action,VS,,,,,,
Evocation,,Ray of Frost,Cantrip,1 action,VS,,,,,,
Abjuration,Yes,Resistance,Cantrip,1 action,VSM,,,,,,
Evocation,,Sacred Flame,Cantrip,1 action,VS,,,,,,
Transmutation,,Shape Water,Cantrip,1 action,S,,,,,,
Transmutation,,Shillelagh,Cantrip,1 bonus action,VSM,,,,,,
Evocation,,Shocking Grasp,Cantrip,1 action,VS,,,,,,
Necromancy,,Spare the Dying,Cantrip,1 action,VS,,,,,,
Conjuration,,Sword Burst,Cantrip,1 action,V,,,,,,
Transmutation,,Thaumaturgy,Cantrip,1 action,V,,,,,,
Transmutation,,Thorn Whip,Cantrip,1 action,VSM,,,,,,
Evocation,,Thunderclap,Cantrip,1 action,S,,,,,,
Necromancy,,Toll the Dead,Cantrip,1 action,VS,,,,,,
Divination,Yes,True Strike,Cantrip,1 action,S,,,,,,
Enchantment,,Vicious Mockery,Cantrip,1 action,V,,,,,,
Evocation,,Word of Radiance,Cantrip,1 action,VM,,,,,,
Abjuration,,Absorb Elements,1st,1 reaction,S,,,,,,
Abjuration,,Alarm,1st,1 minute,VSM,Yes,,,,,
Enchantment,,Animal Friendship,1st,1 action,VSM,,,,,,
Abjuration,,Armor of Agathys,1st,1 action,VSM,,,,,,
Conjuration,,Arms of Hadar,1st,1 action,VS,,,,,,
Enchantment,Yes,Bane,1st,1 action,VSM,,,,,,
Divination,Yes,Beast Bond,1st,1 action,VSM,,,,,,
Enchantment,Yes,Bless,1st,1 action,VSM,,,,,,
Evocation,,Burning Hands,1st,1 action,VS,,,,,,
Transmutation,,Catapult,1st,1 action,S,,,,,,
Necromancy,Yes,Cause Fear,1st,1 action,V,,,,,,
Abjuration,,Ceremony,1st,1 hour,VSM,Yes,,,,,
Evocation,,Chaos Bolt,1st,1 action,VS,,,,,,
Enchantment,,Charm Person,1st,1 action,VS,,,,,,
Evocation,,Chromatic Orb,1st,1 action,VSM,,,,,,
Illusion,,Color Spray,1st,1 action,VSM,,,,,,
Enchantment,,Command,1st,1 action,V,,,,,,
Enchantment,Yes,Compelled Duel,1st,1 bonus action,V,,,,,,
Divination,,Comprehend Languages,1st,1 action,VSM,Yes,,,,,
Transmutation,,Create or Destroy Water,1st,1 action,VSM,,,,,,
Evocation,,Cure Wounds,1st,1 action,VS,,,,,,
Divination,Yes,Detect Evil and Good,1st,1 action,VS,,,,,,
Divination,Yes,Detect Magic,1st,1 action,VS,Yes,,,,,
Divination,Yes,Detect Poison and Disease,1st,1 action,VSM,Yes,,,,,
